,English,japanese
StringsCategoryGeneral,,
AppNameInHeader,GETGems,
SelectAll,Select All,
UnSelectAll,UnSelect All,
Error,Error,
Warning,Warning,
GemsNoDataHaveNetwork,"Sorry, No data found, are you connected to the network ?",
GemsInstallWebViewMessage,Android System WebView needs to be installed to run GetGems. Click OK to install.,
Later,Later,
Success,Success,
OR,or,
GemMainTitleContacts,Contacts,
GemMainTitleChats,Chats,
GemMainTitleWallet,Wallet,
GemMainTitleShop,Store,
Purchase,Purchase,
Purchased,Purchased,
Collected,Collected,
You,You,
GemsTapToCopy,tap to copy,
Unknown,Unknown,
GemsUnknownSource,Unknown Source,
GemsUnknownDestination,Unknown Destination,
GemsUserList,User List,
Hurray,Hurray!,
GemsOk,Ok,
GemsClose,Close,
GemsCancel,Cancel,
Gems,Gems,
GemsBTC,BTC,
GemsSend,Send,
GemsErrorCopying,Error Copying,
GemsReset,Reset,
GemsTo,To,
GemsAmount,amount,
GemsNetworkFee,Network Fee,
GemsTotal,Total,
GemsMinute,Minute,
GemsMinutes,Minutes,
GemsHour,Hour,
GemsHours,Hours,
GemsSatoshi,Satoshi,
GemsSatoshis,Satoshis,
GemsGillo,Gillo,
GemsGillos,Gillos,
GemsBalanceTooLow,Balance too low,
GemsSomethingWentWrong,Something went wrong,
GemsFor,for,
GemsTip,tip,
GemsEarn,earn,
GemsStore,Store,
GemsBuy,Buy,
Next,Next,
YourPhone,Your phone,
PhoneAndCountryHelp,Please confirm your country code and enter your phone number.,
CountryCode,Country Code,
InvalidCountryCode,Invalid Country Code,
Search,Search,
Divide,Divide,
Each,Each,
Referral,Referral,
Stickers,Stickers,
GeneralNetworkError,"Oops, it seems we\'re experiencing some issues contacting our servers. Please try again later.",
Logout,Logout,
Invite,Invite,
DailyAirdrop,Daily Airdrop,
Completed,Completed,
Like,Like,
Follow,Follow,
GemsBalance,Balance,
,,
StringsCategoryRegistration,,
CreateAccount,Create Account,
ChooseGemsUsername,Choose GetGems username,
CreateAccountSMS,We will send an SMS with confirmation code to your number via Telegram.,
SecretPhraseHint,Secret phrase,
EnterSecretPhrase,Enter the secret phrase you\'ve chosen during initial registration.,
SecretPhraseRequired,Secret phrase is required,
VerifyPhone,Verify Phone,
GemsInvalidUsername,Invalid username. Told you no spaces… but no… you had to try it anyway!,
GemsUsernameNotAvailable,Gems username \'%s\' is taken,
GemsRegisterGeneratingPassphrase,Generating Secret Phrase…,
GemsRegisterOpeningWallet,Opening Wallet…,
GemsRegisterRestoringWallet,Restoring Wallet…,
GemsRegisterServer,Registration to server…,
GemsRegisterLogin,Logging in…,
SecretPhraseInvalid,Secret Passphrase is Invalid,
GemsUsernameHelp,"<![CDATA[You can use <b>a–z</b>, <b>0–9</b> and underscores. Minimum length is <b>5</b> characters.]]>",
GemsClientVerificationUseNotVeried,You are not verified.\nPlease create a new account.\nFor support contact support@getgems.org,
GemsClientVerificationUserAlreadyRegistered,You are already verified.\nPlease login with your passphrase.\nFor support contact support@getgems.org,
GemsClientVerificationUserWrongPassphrase,The passphrase doesn\'t match your account.For support contact support@getgems.org,
GemsClientVerificationChallengeError,Client verification challenge error.,
GemsRegistrationError,Registration Process Error.\n Try again later,
GemsWelcome,Welcome to GetGems!,
GemsSetPassphrase,Set Passphrase,
GemsForgotPassphrase,Forgot passphrase?,
